branches/branchid,branches/compid,branches/longitute,branches/latitude,branches/locationtext,branches/branchatmtitletext,branches/atmbranch,branches/addresstext,branches/phoneno,branches/weekdayworkhours,branches/facilitiesavailable,branches/enableDisability,branches/disability
SDU0214,Madina-Supermarket-International-City,55.401,25.167344,"Madina Supermarket, International City","Madina Supermarket, International City",ATM,"International City , Italian Cluster ",+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,,Disability friendly access
SDU9871,manar-al-madina-supermarket,55.43174,25.272068,Manar Al Madina Supermarket,Manar Al Madina Supermarket,ATM,"Muhaisnah 2 , Sonapur PO Box # 69027 , Dubai, UAE",+9714 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,,Disability friendly access
SDU9971,marriot-hotelal-jaddaf,55.3132844,25.211367,"Marriot Hotel, Al Jaddaf","Marriot Hotel, Al Jaddaf",ATM,"Jaddaf, between Downtown &amp; Oud Metha",+9714 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SCU0188,mashreq-doz-ccdm,55.4262453317642,25.1247029381985,Mashreq DOZ - CCDM,Mashreq DOZ - Cash Deposit ATM,ATM,"Dubai, Dubai Outsource Zone, Mashreq Office",+9714-4244444,24/7,Cash Withdrawal #Cardless cash withdrawal Cash & Cheque deposits # Financial Summary # Bill Payments # Money transfers # Cheque Book request # Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services #Apply for Products # Profile Update # Preference settings,,Disability friendly access
SCU9623,mashreq-metro-station-ccdm,55.1909340,25.1148340,Mashreq Metro Station - CCDM,Mashreq Metro Station - Cash Deposit ATM,ATM,"Mashre Metro Station, SZR Road, Dubai, UAE",+971 4 4244444,24/7,Cash Withdrawal #Cardless cash withdrawal Cash & Cheque deposits # Financial Summary # Bill Payments # Money transfers # Cheque Book request # Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services #Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9652,media-one-hotel,55.1524400,25.0898100,Media One Hotel,Media One Hotel,ATM,"Al Falak Street , Media city , Dubai UAE",+9714 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU0213,Media-Rotana-Hotel-Tecom,55.17949,25.099564,"Media Rotana Hotel, Tecom","Media Rotana Hotel, Tecom",ATM,"Media Rotana, Tecom",+9714 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9610,mercure-hotel,55.173069,25.101197,Mercure hotel,Mercure hotel,ATM,"Sheikh Zayed Road ,Dubai Barsha Heights Area ,PO Box 500300",+9714 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,1,Disability friendly access
SDU0285,mina-al-salam-hotel,55.1858,25.13523,Mina Al Salam Hotel,Mina Al Salam Hotel,ATM,Jumeirah Road near to Burj al Arab,+9714 424 4444,Temporarily Closed,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,1,Disability friendly access
ITM5611,mirdiff-city-centre-branch-ITM- ,55.407014,25.21765,Mirdif City Centre Branch - ITM- Temporarily closed,Mirdif City Centre Branch - Interactive Teller Machine,ATM,"B016D, Mirdif City Centre, Ground Floor near Damas, Sh. Mohammed Bin Zayed Road, Dubai",+971 4 424 4444,"Remote teller services : 8:00 AM to 7:00 PM (Mon-Sat), 7:30 AM to 12:30 PM and 2:30 PM to 7:00 PM (Fri) , other ATM services are accessible as per Mall hours",Cash Withdrawal # Cardless cash withdrawal # Cheque Withdrawal #Cash & Cheque deposits # Financial Summary # Bill Payments # Money transfers # Cheque Book request # Statement request # PIN issuance# Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Speak to a Teller agent through the ITM # Profile Update # Preference settings,1,Disability friendly access
SDU3896,M-M-Towers-Khaleej-Suites,55.319502,25.26129208,M.M. Towers (Khaleej Suites),M.M. Towers (Khaleej Suites),ATM,"Al Baniyas Road, Deira Behind Etisalat Building",+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SCU7101,moe-branch-CCDM,55.199508,25.117544,Mall of the Emirates Branch - CCDM,Mall of the Emirates Branch EBSU - Cash Deposit ATM,ATM,"Shop GX-01, Ground Floor, Fashion Dome,Mall of Emirates, Al Barsha",+971 4 424 4444,10:00 AM - 10:00 PM (Sun-Wed) | 10:00 AM - 12:00 AM (Thu-Sat),Cash & Cheque Deposit # Bulk Cheque Deposit # E-statement request # Same Day Cheque Clearance (Sat-Thu deposit before 10:00 AM) # Card / Bill Payment # Cash Withdrawal # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services  # EID / Passport / Visa Update,1,Disability friendly access
ITM7111,moe-branch-ITM,55.199508,25.117544,Mall of the Emirates Branch - ITM,Mall of the Emirates Branch EBSU - Interactive Teller Machine,ATM,"Shop GX-01, Ground Floor, Fashion Dome,Mall of Emirates, Al Barsha",+9714 424 4444,"Remote teller services : 8:00 AM to 7:00 PM (Mon-Sat), 7:30 AM to 12:30 PM and 2:30 PM to 7:00 PM (Fri) , other ATM services are accessible as per Mall hours",Cheque Encashment & Remote Teller Services # Cash Withdrawal # Cash / Cheque Deposit # Cheque Book Request # Card / Bill Payment # Money Transfer # Card Replacement / Activation # Mashreq Online Services # EID / Passport / Visa Update,1,Disability friendly access
SKU7121,moe-branch-kiosk,55.199508,25.117544,Mall of the Emirates Branch - Service Kiosk,Mall of the Emirates Branch EBSU - Service Koisk,ATM,"Shop GX-01, Ground Floor, Fashion Dome,Mall of Emirates, Al Barsha",+9714 424 4444,10:00am - 10:00pm (Sun-Wed) | 10:00pm-12:00am (Thu-Sat),Financial Summary #Bill Payments #Money transfers #Cheque Book request #E-Statement request #PIN issuance #Card Blocking / Replacement #Mashreq Online Services #Apply for Products#Profile Update #Preference settings,1,Disability friendly access
SDU9990,movenpick-hoteljbr,55.136852,25.080183,Movenpick Hotel  JBR,Movenpick Hotel  JBR,ATM,"The Walk, Jumeirah Beach Residence",+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SRU4505,muraqqabat-branch-brm,55.32988161,25.2655363,Muraqqabat Branch - BRM,Muraqqabat Branch - Bulk Deposit Machine,ATM,"Al Ghurair Investment Building, Abu Bakr Al Siddique Road,  Opposite to Al Qabayl centre & Beside of Hamrain Centre, Al Murraqabat Area, Dubai",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Cash / Coin deposits# Financial Summary # Bill Payments# Money transfers # Cheque Book request # Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SCU4501,muraqqabat-branch-CCDM,55.32988161,25.2655363,Muraqqabat Branch - CCDM,Muraqqabat Branch - Cash Deposit ATM,ATM,"Al Ghurair Investment Building, Abu Bakr Al Siddique Road,  Opposite to Al Qabayl centre & Beside of Hamrain Centre, Al Murraqabat Area, Dubai",+971 4 424 4444,24/7,Cash & Cheque Deposit # Bulk Cheque Deposit # Same Day Cheque Clearance (Sat-Thu deposit before 10:00 AM) # Card / Bill Payment # Cash Withdrawal # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Charity Donation # EID / Passport / Visa Update,,Disability friendly access
ITM4511,muraqqabat-branch-ITM,55.32988161,25.2655363,Muraqqabat Branch - ITM,Muraqqabat Branch - Interactive Teller Machine,ATM,"Al Ghurair Investment Building, Abu Bakr Al Siddique Road,  Opposite to Al Qabayl centre & Beside of Hamrain Centre, Al Murraqabat Area, Dubai",+971 4 424 4444,"Remote teller services : 8:00 AM to 7:00 PM (Mon-Sat), 7:30 AM to 12:30 PM and 2:30 PM to 7:00 PM (Fri) , other ATM services are accessible 24/7",Cheque Encashment & Remote Teller Services # Cash Withdrawal # Cash / Cheque Deposit # Cheque Book Request # Card / Bill Payment # Money Transfer # Card Replacement / Activation # Mashreq Online Services # EID / Passport / Visa Update,,Disability friendly access
SKU4521,muraqqabat-branch-kiosk,55.32988161,25.2655363,Muraqqabat Branch - Kiosk,Muraqqabat Branch - Service Kiosk,ATM,"Al Ghurair Investment Building, Abu Bakr Al Siddique Road,  Opposite to Al Qabayl centre & Beside of Hamrain Centre, Al Murraqabat Area, Dubai",+971 4 424 4444,24/7,Instant Statement Printing (NEW) # EID / Passport / Visa Update # Mobile Number Update # Money Transfer # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Cheque Book Request,,Disability friendly access
SDU0266,nakheel-customer-service,55.156,25.10247,Nakheel Customer Service,Nakheel Customer Service,ATM,Jumeira Road,+9714 4244444,,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9898,nakheel-mall-palm-jumeirah,55.138745,25.114302,"Nakheel Mall, Palm Jumeirah","Nakheel Mall, Palm Jumeirah",ATM,Nakeel Mall - Palm Jumeirah Dubai UAE,+9714 4244444,,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU0283,nesto-hypermarket-jebel-ali,55.10714,25.00659,Nesto Hypermarket Jebel Ali,Nesto Hypermarket Jebel Ali,ATM,Jebel Ali Industrial Area 7,+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9731,oaks-liwa-heights-hotel-apartments,55.150347,25.07728,Oaks Liwa Heights Hotel Apartments,Oaks Liwa Heights Hotel Apartments,ATM,Jumeirah Lake Towers,+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,1,Disability friendly access
SDU3809,oasis-center,55.2410012483596,25.1699969720819,Oasis Center,Oasis Center,ATM,"Sheik Zayed Road, Opposite To Tasheel Centre",04-424-4444,8 AM – 12 AM,Cash Withdrawal#Cardless Cash Withdrawal#Credit Card Payment Via Account#Money Transfer#Utility Bill Payment#Emirates ID Registration / Update#KYC Update#Address UpdateCard Block/Replace#Financial Summary#Mobile Number Update#Pin Change#Request Statement#Mini Statement#Cheque Book Request#Apply For Product#Update Personal Settings#MOL Registration#MOL User ID retrieval #MOL Reactivation#PIN Issuance,1,Disability friendly access
SDU0241,park-hyatt,55.333489,25.241542,PARK HYATT HOTEL,PARK HYATT HOTEL,ATM,Near to Floating bridge & opposite Deira City Centre,04-424-4444,8 AM – 12 AM,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SCU9889,difc-damac-park-towers-ccdm,55.278963,25.210002,DIFC DAMAC Park Towers - CCDM ,DIFC DAMAC Park Towers - Cash Deposit ATM ,ATM,"Damac Park Towers , DIFC - Omlaat Street , Dubai UAE",+971 4 424 4444,24/7,Cash Withdrawal #Cardless cash withdrawal Cash & Cheque deposits # Financial Summary # Bill Payments # Money transfers # Cheque Book request # Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services #Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9897,pasons-hypermarket16-dip2,55.201231,24.976346,Pason Hypermarket 16 - DIP2,Pason Hypermarket 16 - DIP2,ATM,"Shop No.3 , Plot No .597-870 Dubai Investment Park - 2 - Dubai UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9635,hypermarket-20-jebel-ali,55.0998150,25.0004290,Pasons Hypermarket - 20 Jebel Ali,Pasons Hypermarket - 20 Jebel Ali,ATM,"Plot # 599-2117, Jebel Ali Industrial Area 1 , Dubai UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,,Disability friendly access
SDU9882,pasons-hypermarket-dip2,55.205266,24.975225,Pasons Hypermarket DIP2,Pasons Hypermarket DIP2,ATM,"Shop No.3 , Plot No .597-870 Dubai Investment Park - 2 - Dubai UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,,Disability friendly access
